Name,Age,Time
Teodora Pashina,23,11570000
Elisaveta Gilina,26,11768000
Radka Tsokova,30,12310000
Mariana Peneva,41,12759000
Kamelija Kamenova,32,13069000
Gergana Borisova,41,14251000
Milena Dimitrova,34,14418000
Cvetelina Beneva,40,14434000
Ralitza Tihova,33,15569000
Pavlina Genova,33,17124000
Ralica Lazarova,29,17942000
Janka Cvetkova,50,18080000
Denica Velikova,29,18327000
Lora Georgieva,26,19162000
Nikolina Andonova,21,19433000
Tanya  Gancheva,28,19803000
